authors,title,language_code
China Miéville,Embassytown,eng
Dean Koontz,By the Light of the Moon,
Arthur Conan Doyle,"Sherlock Holmes: The Complete Novels and Stories, Volume I",eng
Dorothy L. Sayers,"Strong Poison (Lord Peter Wimsey, #6)",eng
Gary Larson,The Far Side Gallery,eng
Julie Kagawa,"The Eternity Cure (Blood of Eden, #2)",eng
J.D. Robb,"Holiday in Death (In Death, #7)",eng
Tarryn Fisher,"Thief (Love Me with Lies, #3)",eng
Aron Ralston,Between a Rock and a Hard Place,en-US
David Gemmell,"Legend (The Drenai Saga, #1)",en-US
Sheila Turnage,"Three Times Lucky (Tupelo Landing, #1)",eng
Meg Cabot,"Every Boy's Got One (Boy, #3)",en-GB
Ann Rule,Small Sacrifices: A True Story of Passion and Murder,eng
Chris Bohjalian,The Guest Room,eng
"Avery Monsen, Jory John",All My Friends Are Dead,eng
Matthew Reilly,"The Six Sacred Stones (Jack West Jr, #2)",eng
Nora Roberts,"Rising Tides (Chesapeake Bay Saga, #2)",en-US
Tite Kubo,"Bleach, Volume 15",eng
"Johnny Cash, Patrick   Carr",Cash,en-US
Sidney Sheldon,A Stranger In The Mirror,eng
Carl Hiaasen,Flush,en-US
"Isak Dinesen, Karen Blixen",Out of Africa,eng
Robert Crais,"The Watchman (Elvis Cole, #11; Joe Pike, #1)",en-US
Nassim Nicholas Taleb,Antifragile: Things That Gain from Disorder,eng
Molly McAdams,"From Ashes (From Ashes, #1)",en-GB
Sam Harris,Free Will,eng
Marieke Nijkamp,This Is Where It Ends,eng
Rachel Vincent,"Stray (Shifters, #1)",eng
Elin Hilderbrand,A Summer Affair,
Rebecca Stead,Liar & Spy,eng
"Brian Jacques, Gary Chalk","Mariel of Redwall (Redwall, #4)",
Steven Pinker,The Blank Slate: The Modern Denial of Human Nature,eng
Peter F. Hamilton,The Dreaming Void,en-US
Meg Cabot,"Being Nikki (Airhead, #2)",eng
"William Shakespeare, Cynthia Marshall, Barbara A. Mowat, Paul Werstine",Antony and Cleopatra,eng
Margaret Peterson Haddix,"Among the Impostors (Shadow Children, #2)",en-US
Christopher Pike,"Thirst No. 3: The Eternal Dawn (Thirst, #3)",en-US
Zane,Addicted,eng
Kristen Simmons,"Article 5 (Article 5, #1)",en-US
"Randy Shilts, William Greider","And the Band Played On: Politics, People, and the AIDS Epidemic",
Laurelin Paige,"Found in You (Fixed, #2)",eng
Lara Adrian,"Midnight Rising (Midnight Breed, #4)",eng
Karin Slaughter,"Kisscut (Grant County, #2)",eng
"Miranda July, Brigitte Sire",It Chooses You,eng
"Hubert Selby Jr., Gilbert Sorrentino",Last Exit to Brooklyn,eng
"Mario Vargas Llosa, Edith Grossman",The Feast of the Goat,eng
Jordan Sonnenblick,"Drums, Girls & Dangerous Pie (Drums, Girls & Dangerous Pie, #1)",eng
Miranda July,The First Bad Man,eng
Tad Williams,"To Green Angel Tower, Part 2 (Memory, Sorrow, and Thorn, #3; Part 2)",eng
Jay Crownover,"Jet (Marked Men, #2)",eng
John Banville,The Sea,eng
"James Patterson, David Ellis",Invisible,eng
Dean Koontz,Mr. Murder,eng
Gail Carriger,"Changeless (Parasol Protectorate, #2)",eng
L.E. Modesitt Jr.,The Magic of Recluce (The Saga of Recluce #1),eng
John Jakes,"The Bastard (Kent Family Chronicles, #1)",en-GB
Ben H. Winters,"The Last Policeman (The Last Policeman, #1)",eng
George R. Stewart,Earth Abides,eng
"Douglas Preston, Lincoln Child",Thunderhead,eng
Darren Shan,"Allies of the Night (Cirque du Freak, #8)",
Thea Harrison,"Dragon Bound (Elder Races, #1)",eng
L.M. Montgomery,"Rainbow Valley (Anne of Green Gables, #7)",eng
Stephen King,The Colorado Kid (Hard Case Crime #13),eng
"Diane Mowat, W.W. Jacobs",The Monkey's Paw (Oxford Bookworms),eng
John Saul,Darkness,
"Jerry Bridges, Foster W. Cline, Jim Fay",The Pursuit of Holiness,eng
Lisa Kleypas,"Again the Magic (Wallflowers, #0)",eng
Anne Rivers Siddons,Low Country,eng
Jennifer Donnelly,Revolution,eng
Eric S. Nylund,Halo: The Fall of Reach,eng
Kim Harrison,"Ever After (The Hollows, #11)",eng
Frank De Felitta,Audrey Rose,
Nathan  Hill,The Nix,eng
Sophie Jordan,"Vanish (Firelight, #2)",en-US
Bill Watterson,The Calvin and Hobbes Lazy Sunday Book,eng
J. Sheridan Le Fanu,Carmilla,eng
Garth Nix,"Drowned Wednesday (The Keys to the Kingdom, #3)",en-US
Melina Marchetta,Saving Francesca,eng
K.A. Linde,"Avoiding Commitment (Avoiding, #1)",eng
"James Patterson, Maxine Paetro","Confessions of a Murder Suspect (Confessions, #1)",eng
"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.","Y: The Last Man, Vol. 6: Girl on Girl (Y: The Last Man, #6)",eng
Chris Bohjalian,Skeletons at the Feast,
Sue Grafton,"L is for Lawless (Kinsey Millhone, #12)",
Jerry Spinelli,Milkweed,eng
"Laura Joffe Numeroff, Felicia Bond",If You Give a Pig a Party,
William Gibson,"Virtual Light (Bridge, #1)",eng
Craig Ferguson,American on Purpose: The Improbable Adventures of an Unlikely Patriot,eng
Michael J. Fox,Always Looking Up: The Adventures of an Incurable Optimist,en-US
Sarah MacLean,"Nine Rules to Break When Romancing a Rake (Love By Numbers, #1)",en-US
Charlotte Rogan,The Lifeboat,eng
"Henryk Sienkiewicz, W.S. Kuniczak",Quo Vadis,eng
Amy Ewing,"The Jewel (The Lone City, #1)",eng
Chris d'Lacey,"The Fire Within (The Last Dragon Chronicles, #1)",eng
"Raymond E. Feist, Janny Wurts","Servant of the Empire (The Empire Trilogy, #2)",eng
Nora Roberts,"The Hollow (Sign of Seven, #2)",en-US
"Deborah Guarino, Steven Kellogg",Is Your Mama a Llama?,
Anna Todd,"After We Collided (After, #2)",eng
Jacob Tomsky,"Heads in Beds: A Reckless Memoir of Hotels, Hustles, and So-Called Hospitality",
Tony Horwitz,Confederates in the Attic: Dispatches from the Unfinished Civil War,eng
David Wong,"This Book Is Full of Spiders: Seriously, Dude, Don't Touch It (John Dies at the End, #2)",en-US
"Robert Descharnes, Gilles Néret",Dali: The Paintings,
Matthew Reilly,"Seven Deadly Wonders (Jack West Jr, #1)",eng
Cherrie Lynn,"Unleashed (Ross Siblings, #1)",eng
Laurell K. Hamilton,"Mistral's Kiss (Merry Gentry, #5)",en-US
Stephen R. Covey,The 8th Habit: From Effectiveness to Greatness,en-US
Larissa Ione,Desire Unchained (Demonica #2),eng
"Dean Koontz, Leigh Nichols",Cold Fire / Hideaway / The Key to Midnight,eng
Dan Wells,"I Am Not A Serial Killer (John Cleaver, #1)",eng
Laura Dave,Eight Hundred Grapes,
Fannie Flagg,"Welcome to the World, Baby Girl! (Elmwood Springs, #1)",eng
Irvine Welsh,Filth,eng
Lori Lansens,The Girls,eng
Janet Evanovich,"Turbo Twenty-Three (Stephanie Plum, #23)",eng
Sandra Brown,The Alibi,eng
Wiley Cash,A Land More Kind Than Home,eng
Ann M. Martin,"Kristy's Great Idea (The Baby-Sitters Club, #1)",eng
Roland Smith,"Shatterproof (The 39 Clues: Cahills vs. Vespers, #4)",
Sheri  Fink,Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital,eng
"Henning Mankell, Steven T. Murray","The Fifth Woman (Kurt Wallander, #6)",eng
Sarah Vowell,The Wordy Shipmates,en-US
"Guy de Maupassant, Douglas Parmée",Bel-Ami,eng
Norman Maclean,A River Runs Through It and Other Stories,eng
"María Dueñas, Daniel Hahn",The Time in Between,eng
Toni Morrison,Paradise,eng
William Gibson,Idoru (Bridge #2),eng
Kristan Higgins,"The Best Man (Blue Heron, #1)",eng
Diana Wynne Jones,"Castle in the Air (Howl's Moving Castle, #2)",
Jude Watson,"A King's Ransom (The 39 Clues: Cahills vs. Vespers, #2)",eng
Deborah Blum,The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,en-US
Penelope Ward,RoomHate,eng
Elizabeth Scott,Living Dead Girl,en-US
"Anonymous, Ananda Maitreya, Thich Nhat Hanh, Balangoda Ananda Maitreya Maitreya",The Dhammapada,eng
Kristen Ashley,"Law Man (Dream Man, #3)",en-US
Kathy Reichs,"Deadly Decisions (Temperance Brennan, #3)",en-US
Brené Brown,Rising Strong,en-GB
Alan Bradley,"Speaking from Among the Bones (Flavia de Luce, #5)",eng
"James Patterson, Maxine Paetro",Swimsuit,eng
Elisabeth Elliot,Through Gates of Splendor,en-US
Tarryn Fisher,"Dirty Red (Love Me with Lies, #2)",eng
Holly Black,The Darkest Part of the Forest,eng
Susan Elizabeth Phillips,"Dream a Little Dream (Chicago Stars, #4)",en-US
"خالد الخميسي, Khaled Al Khamissi",تاكسي: حواديت المشاوير,ara
Gail Tsukiyama,The Samurai's Garden,en-US
Sally   Thorne,The Hating Game,eng
Julia Heaberlin,Black-Eyed Susans,eng
Penny Reid,"Neanderthal Seeks Human (Knitting in the City, #1)",eng
"Scott Westerfeld, Keith Thompson","Goliath (Leviathan, #3)",eng
"Akira Amano, JN Productions, Frances E. Wall","Reborn! Vol. 01: Reborn Arrives! (Reborn!, #1)",
Karin Slaughter,"Criminal (Will Trent, #6)",eng
Tom Clancy,"The Bear and the Dragon (Jack Ryan Universe, #11)",en-US
Sue Grafton,"W is for Wasted (Kinsey Millhone, #23)",eng
Alton Brown,I'm Just Here for the Food: Food + Heat = Cooking,en-US
James Herriot,All Things Wise and Wonderful,
Sherrilyn Kenyon,Sins of the Night (Dark-Hunter #7),eng
Beth Revis,"Shades of Earth (Across the Universe, #3)",eng
Ursula K. Le Guin,"Tehanu (Earthsea Cycle, #4)",eng
Amy Tintera,"Reboot (Reboot, #1)",eng
Carrie Brownstein,Hunger Makes Me a Modern Girl,eng
Jon Meacham,Thomas Jefferson: The Art of Power,eng
Agatha Christie,"Murder in Mesopotamia (Hercule Poirot, #14)",eng
Iain M. Banks,"Excession (Culture, #5)",en-US
Pearl Cleage,"What Looks Like Crazy on an Ordinary Day (Idlewild, #1)",eng
Sue Grafton,"G is for Gumshoe (Kinsey Millhone, #7)",eng
David Baldacci,"King and Maxwell (Sean King & Michelle Maxwell, #6)",eng
Irvin D. Yalom,Love's Executioner and Other Tales of Psychotherapy,
Trudi Canavan,"The Magician's Apprentice (Black Magician, #0.5)",eng
Steven Erikson,"Reaper's Gale (The Malazan Book of the Fallen, #7)",eng
Frank E. Peretti,The Visitation,
"Joe Hill, Gabriel Rodríguez","Locke & Key, Vol. 3: Crown of Shadows",en-US
The Arbinger Institute,Leadership and Self-Deception: Getting Out of the Box,
"Arthur C. Clarke, Gentry Lee","The Garden of Rama (Rama, #3)",eng
Lisa Kleypas,"Blue-Eyed Devil (Travises, #2)",en-US
Graham Greene,Our Man in Havana,eng
"Scott Snyder, Jock, Francesco Francavilla, Jared K. Fletcher, Sal Cipriano, David   Baron",Batman: The Black Mirror,eng
"James Patterson, Marshall Karp",Kill Me If You Can,eng
Darren Shan,"Killers of the Dawn (Cirque Du Freak, #9)",
Corrie ten Boom,Tramp for the Lord,
"Laura Joffe Numeroff, Felicia Bond",If You Take a Mouse to the Movies,
"Laurell K. Hamilton, Laural Merlington","A Lick of Frost (Merry Gentry, #6)",eng
"Orson Scott Card, James Cameron",The Abyss,eng
Paula Brackston,"The Witch's Daughter (The Witch's Daughter, #1)",en-US
"Katarina Bivald, Alice Menzies",The Readers of Broken Wheel Recommend,eng
Dennis Lehane,"Live by Night (Coughlin, #2)",eng
Amy Plum,"Until I Die (Revenants, #2)",en-US
"Richard Dawkins, Dave McKean",The Magic of Reality: How We Know What's Really True,en-US
"Karen Kingsbury, Gary Smalley","Remember (Redemption, #2)",eng
James Patterson,"Alex Cross, Run (Alex Cross, #20)",
Christian Lander,Stuff White People Like: A Definitive Guide to the Unique Taste of Millions,en-US
Nora Roberts,"Blood Magick (The Cousins O'Dwyer Trilogy, #3)",eng
Stephen R. Donaldson,"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, #3)",eng
Marian Keyes,The Brightest Star in the Sky,en-GB
Heather Dixon,Entwined,en-US
Rachel Dratch,"Girl Walks into a Bar . . .: Comedy Calamities, Dating Disasters, and a Midlife Miracle",
Gabriel García Márquez,El coronel no tiene quien le escriba,spa
J.M. Coetzee,Waiting for the Barbarians,eng
Willy Lindwer,The Last Seven Months of Anne Frank,
Walter Isaacson,"The Innovators: How a Group of  Hackers, Geniuses and Geeks Created the Digital Revolution",eng
Deborah Rodriguez,Kabul Beauty School: An American Woman Goes Behind the Veil,eng
Ernest Hemingway,To Have and Have Not,eng
Ken Follett,Jackdaws,eng
محمد السالم,حبيبتي بكماء,ara
Neal Stephenson,"The System of the World (The Baroque Cycle, #3)",en-US
Ben Mikaelsen,"Touching Spirit Bear (Spirit Bear, #1)",eng
Rachel Kushner,The Flamethrowers,eng
Jeaniene Frost,"Twice Tempted (Night Prince, #2)",en-GB
Deborah Feldman,Unorthodox: The Scandalous Rejection of My Hasidic Roots,eng
Kiera Cass,"The Selection Stories: The Prince & The Guard (The Selection, #0.5, 2.5)",eng
Gary Vaynerchuk,Crush It!: Why Now Is the Time to Cash In on Your Passion,en-US
Alastair Reynolds,Redemption Ark,eng
Steve Berry,"The Venetian Betrayal (Cotton Malone, #3)",en-US
T.S. Eliot,"Collected Poems, 1909-1962",eng
Lloyd C. Douglas,The Robe,en-US
"Walt Disney Company, Ellen Titlebaum",Beauty and the Beast,
Anton DiSclafani,The Yonahlossee Riding Camp for Girls,eng
Kylie Scott,"Lead (Stage Dive, #3)",eng
Kelley Armstrong,"No Humans Involved (Women of the Otherworld, #7)",eng
"Joseph Delaney, Patrick  Arrasmith","Night of the Soul Stealer (The Last Apprentice / Wardstone Chronicles, #3)",
Gavin de Becker,The Gift of Fear: Survival Signals That Protect Us from Violence,
Jennifer Echols,"Endless Summer (The Boys Next Door, #1-2)",eng
Lincoln Peirce,"Big Nate Strikes Again (Big Nate Novels, #2)",en-US
Mary Kubica,Don't You Cry,
Willard F. Harley Jr.,"His Needs, Her Needs: Building an Affair-Proof Marriage",eng
Nora Roberts,"Dance of the Gods (Circle Trilogy, #2)",eng
Kelly Creagh,"Nevermore (Nevermore, #1)",en-US
"Sadegh Hedayat, D.P. Costello",The Blind Owl,en-US
"Eric Litwin, James Dean",Pete the Cat: I Love My White Shoes,en-US
"Jonathan Stroud, Simon  Jones","The Ring of Solomon (Bartimaeus, #0.5)",eng
R.L. Stine,"Welcome to Dead House (Goosebumps, #1)",en-US
Louise Erdrich,The Master Butchers Singing Club,
Glen Cook,"Chronicles of the Black Company (The Chronicles of the Black Company, #1-3)",en-US
Abbi Glines,"Until Friday Night (The Field Party, #1)",eng
Melinda Haynes,Mother of Pearl,en-US
Chris Cleave,Everyone Brave is Forgiven,eng
Michael Crichton,The Great Train Robbery,
Danielle Steel,Safe Harbour,
Kristin Hannah,The Things We Do for Love,en-GB
Juliet Marillier,"Son of the Shadows (Sevenwaters, #2)",eng
Ken Follett,The Key to Rebecca,eng
Chloe Neill,"Hard Bitten (Chicagoland Vampires, #4)",en-US
"Ina Garten, Maura McEvoy",Barefoot Contessa Family Style: Easy Ideas and Recipes That Make Everyone Feel Like Family,eng
Fisher Amelie,"Vain (The Seven Deadly, #1)",eng
"H.P. Lovecraft, China Miéville, S.T. Joshi",At the Mountains of Madness,eng
Nora Roberts,"Heart of the Sea (Gallaghers of Ardmore / Irish Trilogy, #3)",en-US
Lara Adrian,"Veil of Midnight (Midnight Breed, #5)",eng
James Rollins,Subterranean,eng
Allison Pearson,I Don't Know How She Does It,en-US
"Garth Ennis, Steve Dillon","Preacher, Volume 9: Alamo",eng
Becky  Chambers,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",eng
"Jorge Luis Borges, Andrew Hurley",Collected Fictions,eng
Holly Black,Valiant (Modern Faerie Tales #2),eng
John le Carré,The Russia House,
Jennifer Lynn Barnes,"Raised by Wolves (Raised by Wolves, #1)",eng
Harlan Coben,Promise Me (Myron Bolitar #8),eng
L.J. Smith,"Midnight (The Vampire Diaries: The Return, #3)",en-US
Sherrilyn Kenyon,"Dark Side of the Moon (Dark-Hunter #9, Were-Hunter #3)",en-US
"Carol Tavris, Elliot Aronson","Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts",en-US
T.R. Ragan,Abducted (Lizzy Gardner #1),eng
"Richard Bachman, Stephen King",Roadwork,en-US
Clive Cussler,"Valhalla Rising (Dirk Pitt, #16)",en-US
Jared Diamond,The Third Chimpanzee: The Evolution and Future of the Human Animal,eng
Dennis Lehane,The Given Day (Coughlin #1),en-US
"Gina Mayer, Mercer Mayer",Just Me in the Tub (Mercer Mayer's Little Critter),
Nicole  Williams,"Crush (Crash, #3)",en-US
Mira Grant,"Deadline (Newsflesh Trilogy, #2)",en-US
Harlan Coben,Long Lost  (Myron Bolitar #9),eng
Karin Slaughter,"Faithless (Grant County, #5)",en-US
Jill Bolte Taylor,My Stroke of Insight: A Brain Scientist's Personal Journey,en-US
"Robert Kirkman, Charlie Adlard, Cliff Rathburn","The Walking Dead, Vol. 06: This Sorrowful Life",eng
"Isabel Allende, Margaret Sayers Peden",Inés of My Soul,en-US
Dean Koontz,Cold Fire,
Emma Donoghue,Frog Music,eng
Iain Pears,An Instance of the Fingerpost,eng
Donny Dhirgantoro,5 cm,ind
"Geoffrey A. Moore, Regis McKenna",Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,en-US
Peach-Pit,"Shugo Chara!, Vol. 1: Who Do You Want to Be? (Shugo Chara!, #1)",
Harlan Coben,The Innocent,eng
Isaac Asimov,Robots and Empire (Robot #4),eng
Aldous Huxley,Island,eng
Neil Shubin,Your Inner Fish: A Journey into the 3.5-Billion-Year History of the Human Body,
Jean-Paul Sartre,No Exit,eng
Seth Godin,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),
Alison Bechdel,Are You My Mother?,eng
Bob Ong,ABNKKBSNPLAKo?! (Mga Kwentong Chalk ni Bob Ong),fil
Robin Hobb,The Farseer Trilogy (Farseer Trilogy #1-3),eng
Elin Hilderbrand,The Blue Bistro,en-US
Darynda Jones,"Third Grave Dead Ahead (Charley Davidson, #3)",eng
"Milan Kundera, Linda Asher",Identity,eng
Mary E. Pearson,"The Heart of Betrayal (The Remnant Chronicles, #2)",eng
Loung Ung,First They Killed My Father: A Daughter of Cambodia Remembers,en-US
"Owen  West, Dean Koontz",The Funhouse,eng
Stephen M.R. Covey,The Speed of Trust: The One Thing that Changes Everything,en-US
Mary Higgins Clark,You Belong To Me,en-US
Betty Mahmoody,Not Without My Daughter,eng
Lisa Gardner,"The Killing Hour (Quincy & Rainie, #4)",en-US
Piers Anthony,"Castle Roogna (Xanth, #3)",eng
Mary Higgins Clark,While My Pretty One Sleeps,eng
Joseph Kesselring,Arsenic and Old Lace,
Ellen Schreiber,"Dance with a Vampire (Vampire Kisses, #4)",eng
Ken Kesey,Sometimes a Great Notion,
Tamora Pierce,"Tris's Book (Circle of Magic, #2)",eng
Sam Harris,The Moral Landscape: How Science Can Determine Human Values,en-US
Darcie Chan,The Mill River Recluse,eng
Douglas Coupland,Hey Nostradamus!,eng
Jon Lee Anderson,Che Guevara: A Revolutionary Life,eng
Scott Westerfeld,"The Secret Hour (Midnighters, #1)",eng
C.C. Hunter,"Chosen at Nightfall (Shadow Falls, #5)",en-CA
Paulo Coelho,Like the Flowing River ,eng
Brandon Mull,"The Candy Shop War (The Candy Shop War, #1)",
Kelley Armstrong,"Broken (Women of the Otherworld, #6)",eng
Maggie Stiefvater,"Lament: The Faerie Queen's Deception (Books of Faerie, #1)",eng
"Verna Aardema, Leo Dillon, Diane Dillon",Why Mosquitoes Buzz in People's Ears,
Sophie Kinsella,"Shopaholic to the Stars (Shopaholic, #7)",eng
Nora Roberts,High Noon,eng
Tom Rob Smith,The Farm,eng
Rebecca Solnit,Men Explain Things to Me,eng
Kristen Proby,"Rock with Me (With Me in Seattle, #4)",eng
"Carlos Ruiz Zafón, Lucia Graves","The Prince of Mist (Niebla, #1)",eng
Alfred Uhry,Driving Miss Daisy,eng
Meredith Wild,"Hardpressed (Hacker, #2)",eng
J.D. Robb,"Conspiracy in Death (In Death, #8)",eng
Alexander McCall Smith,"In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6)",eng
"Laura Ingalls Wilder, Garth Williams","The First Four Years  (Little House, #9)",eng
R.D. Ronald,The Elephant Tree,eng
Kathy Reichs,"Bones to Ashes (Temperance Brennan, #10)",eng
"Jacob Grimm, Wilhelm Grimm, منى الخميسي",Grimm's Fairy Tales,eng
"Allan Pease, Barbara Pease",The Definitive Book of Body Language,eng
Tammara Webber,"Between the Lines (Between the Lines, #1)",eng
Farley Mowat,Never Cry Wolf,eng
"James Patterson, Michael Ledwidge","Tick Tock (Michael Bennett, #4)",eng
Michelle Moran,Cleopatra's Daughter,eng
Kathy Reichs,"Grave Secrets (Temperance Brennan, #5)",en-US
Kevin Hearne,"Shattered (The Iron Druid Chronicles, #7)",eng
John Scalzi,"Zoe's Tale (Old Man's War, #4)",eng
Brad Thor,"The First Commandment (Scot Harvath, #6)",eng
"Oscar Wilde, Merlin Holland",Complete Works of Oscar Wilde,eng
"Cook's Illustrated Magazine, John Burgoyne, Carl Tremblay",The New Best Recipe,
Renee Ahdieh,"The Rose & the Dagger (The Wrath & the Dawn, #2)",eng
Peter Clines,The Fold,eng
Louise Penny,The Nature of the Beast (Chief Inspector Armand Gamache #11),eng
Laura C. Schlessinger,The Proper Care and Feeding of Husbands,
Ted Dekker,"Green: The Beginning and the End (The Circle, #0)",eng
Yana Toboso,"Black Butler, Vol. 3 (Black Butler, #3)",ind
Michael J. Sullivan,"The Crown Tower (The Riyria Chronicles, #1)",eng
"Fábio Moon, Gabriel Bá, Craig Thompson, Dave Stewart, Sean Konot",Daytripper,eng
Cherise Sinclair,"Club Shadowlands (Masters of the Shadowlands, #1)",eng
"Orhan Pamuk, Maureen Freely",The Museum of Innocence,eng
Brit Bennett,The Mothers,eng
"Johann Wolfgang von Goethe, Walter Kaufmann",Faust,eng
Cora Carmack,"Faking It (Losing It, #2)",eng
Jenny Nimmo,"Charlie Bone and the Castle of Mirrors (The Children of the Red King, #4)",
Shelly Crane,"Accordance (Significance, #2)",eng
Andrea Cremer,Bloodrose (Nightshade #3; Nightshade World #6),eng
Agatha Christie,"Cards on the Table (Hercule Poirot, #15)",eng
Rachel Renée Russell,"Tales from a Not-So-Smart Miss Know-It-All (Dork Diaries, #5)",eng
Beverly Cleary,"Ramona and Her Mother (Ramona, #5)",eng
Agatha Christie,"Appointment with Death (Hercule Poirot, #19)",eng
Susan Elizabeth Phillips,"Natural Born Charmer (Chicago Stars, #7)",en-US
Maxine Hong Kingston,The Woman Warrior,en-US
"Masha, Marie Simchow Stern",Three Little Kittens,eng
Charles Bukowski,Tales of Ordinary Madness,eng
Samantha Young,"Before Jamaica Lane (On Dublin Street, #3)",eng
Terry Brooks,"The Sword of Shannara Trilogy (Shannara, #1-3)",
Taylor Jenkins Reid,Maybe in Another Life,
Glennon Doyle Melton,"Carry On, Warrior: Thoughts on Life Unarmed",eng
"Arthur Conan Doyle, David Timson",The Valley of Fear,eng
Nora Roberts,"The Pagan Stone (Sign of Seven, #3)",en-US
Charles Dickens,A Tale of Two Cities / Great Expectations,en-US
Stephen R. Covey,Principle-Centered Leadership,en-US
Larry Correia,"Monster Hunter International (Monster Hunter International, #1)",eng
Rae Carson,"The Bitter Kingdom (Fire and Thorns, #3)",eng
Tom Clancy,"The Teeth of the Tiger (Jack Ryan Universe, #12)",eng
Anne McCaffrey,"Moreta: Dragonlady of Pern (Pern, #7)",eng
Diane Muldrow,Frosty the Snowman (Frosty the Snowman),
"Garth Ennis, Steve Dillon, Peter Snejbjerg","Preacher, Volume 6: War in the Sun",eng
Megan Whalen Turner,"The Queen of Attolia (The Queen's Thief, #2)",
Christopher Isherwood,A Single Man,eng
Christopher Hitchens,Mortality,eng
Chris d'Lacey,"Icefire (The Last Dragon Chronicles, #2)",eng
Neil Gaiman,Norse Mythology,eng
Stephen E. Ambrose,Citizen Soldiers: The U. S. Army from the Normandy Beaches to the Bulge to the Surrender of Germany,
Julie Garwood,Honor's Splendour,eng
Kody Keplinger,Shut Out,en-US
A. Meredith Walters,"Bad Rep (Bad Rep, #1)",en-GB
Nora Roberts,"Valley of Silence (Circle Trilogy, #3)",en-GB
Jeanne DuPrau,"The Prophet of Yonwood (Book of Ember, #3)",en-US
James Patterson,"Hope to Die (Alex Cross, #22)",eng
"Kresley Cole, Gena Showalter","Deep Kiss of Winter (Includes: Immortals After Dark, #8; Alien Huntress, #3.5)",en-US
"Holly Black, Eliza Wheeler",Doll Bones,eng
Patricia Cornwell,"Red Mist (Kay Scarpetta, #19)",eng
Alan Bradley,"I Am Half-Sick of Shadows (Flavia de Luce, #4)",en-US
Kristen Ashley,"Wild Man (Dream Man, #2)",en-GB
"Joseph Fink, Jeffrey Cranor",Welcome to Night Vale,eng
"Michael Teitelbaum, Walt Disney Company",Sleeping Beauty: a Little Golden Book (Disney Princess),eng
Julia Quinn,"An Offer From a Gentleman (Bridgertons, #3)",en-US
Julie   Murphy,"Dumplin' (Dumplin', #1)",eng
Ann Leckie,Ancillary Mercy (Imperial Radch #3),eng
Gena Showalter,The Darkest Surrender  (Lords of the Underworld #8),eng
Stephen King,Danse Macabre,eng
Gina L. Maxwell,"Seducing Cinderella (Fighting for Love, #1)",eng
Alexander McCall Smith,"Blue Shoes and Happiness (No. 1 Ladies' Detective Agency, #7)",eng
"Eve Ensler, Gloria Steinem",The Vagina Monologues,
Charles Dickens,Our Mutual Friend,eng
Evelyn Waugh,A Handful of Dust,en-US
Francine Rivers,Leota's Garden,eng
Barbara Delinsky,Not My Daughter,
Paul Auster,The Book of Illusions,eng
Karen Marie Moning,"To Tame a Highland Warrior (Highlander, #2)",eng
Wendy Mass,A Mango-Shaped Space,eng
Maeve Binchy,Quentins,
"George Eliot, Edmund White",Daniel Deronda,eng
Elin Hilderbrand,Here's to Us,eng
Susan Mallery,"Chasing Perfect (Fool's Gold, #1)",eng
Plum Sykes,The Debutante Divorcee,en-US
"Anonymous, Ronald A. Beers, Ronald A. Beers",Life Application Study Bible: NIV,eng
"Douglas Preston, Lincoln Child","The Wheel of Darkness (Pendergast, #8)",en-US
Sylvain Neuvel,"Sleeping Giants (Themis Files, #1)",eng
Julianne Donaldson,Blackmoore,eng
"Neil Gaiman, Barron Storey, Bill Sienkiewicz, Glenn Fabry, Dave McKean, P. Craig Russell, Milo Manara, Miguelanxo Prado, Frank Quitely, Todd Klein",The Sandman: Endless Nights,eng
Olivia Goldsmith,The First Wives Club,eng
Maggie O'Farrell,The Vanishing Act of Esme Lennox,eng
Sarah Waters,The Night Watch,en-US
Jeffrey Archer,"Mightier Than the Sword (The Clifton Chronicles, #5)",eng
Anne Rice,"Blood Canticle (The Vampire Chronicles, #10)",en-GB
Carl Hiaasen,Nature Girl,eng
Robert McCammon,Boy's Life,eng
"George Eliot, Joanna Trollope, Hugh Osborne",Adam Bede,
Chitra Banerjee Divakaruni,Sister of My Heart,eng
"Yōko Ogawa, Stephen Snyder",The Housekeeper and the Professor,eng
Sue Grafton,"H is for Homicide (Kinsey Millhone, #8)",eng
Douglas Coupland,JPod,en-US
Dean Koontz,The Face,eng
Niall Ferguson,The Ascent of Money: A Financial History of the World,en-US
Jim Gaffigan,Food: A Love Story,eng
Laurie Halse Anderson,The Impossible Knife of Memory,eng
"Dante Alighieri, Robert M. Durling","Purgatorio (The Divine Comedy, #2)",ita
David Baldacci,"Deliver Us from Evil (A. Shaw, #2)",en-US
Jonathan Tropper,One Last Thing Before I Go,
