authors,title
Bill Watterson,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury
Geraldine Brooks,People of the Book
Kate Morton,The Secret Keeper
Better Homes and Gardens,Better Homes and Gardens New Cook Book  
Douglas Adams,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)"
"Hermann Hesse, Basil Creighton",Steppenwolf
Tess Gerritsen,"The Surgeon (Rizzoli & Isles, #1)"
Jojo Moyes,The Girl You Left Behind
Robin Hobb,"Royal Assassin (Farseer Trilogy, #2)"
Arthur C. Clarke,Childhood's End
"Kate DiCamillo, Timothy Basil Ering",The Tale of Despereaux
"Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser","Animal, Vegetable, Miracle: A Year of Food Life"
Sarah J. Maas,"Heir of Fire (Throne of Glass, #3)"
Robert Jordan,"Lord of Chaos (Wheel of Time, #6)"
Alan Bradley,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)"
Donald Miller,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality
Diana Gabaldon,"A Breath of Snow and Ashes (Outlander, #6)"
Rick Riordan,"The Blood of Olympus (The Heroes of Olympus, #5)"
Liane Moriarty,Truly Madly Guilty
"Brian K. Vaughan, Fiona Staples","Saga, Vol. 1 (Saga, #1)"
Chad Harbach,The Art of Fielding
Ernest Hemingway,A Moveable Feast
Brandon Mull,"Fablehaven (Fablehaven, #1)"
"Lemony Snicket, Brett Helquist","The Wide Window (A Series of Unfortunate Events, #3)"
Jim Butcher,"Grave Peril (The Dresden Files, #3)"
Walter Isaacson,Einstein: His Life and Universe
S.C. Stephens,"Effortless (Thoughtless, #2)"
John Grisham,The Street Lawyer
Mildred D. Taylor,"Roll of Thunder, Hear My Cry (Logans, #4)"
"Seth Grahame-Smith, Jane Austen","Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)"
David Sedaris,Let's Explore Diabetes with Owls
"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",The Idiot
Douglas Adams,Dirk Gently's Holistic Detective Agency (Dirk Gently #1)
Jeff Kinney,"Rodrick Rules (Diary of a Wimpy Kid, #2)"
Mindy Kaling,Why Not Me?
Veronica Roth,"Four: A Divergent Story Collection (Divergent, #0.1 - 0.4)"
"Aziz Ansari, Eric Klinenberg",Modern Romance
"Katherine Applegate, Patricia Castelao",The One and Only Ivan
Sebastian Junger,The Perfect Storm: A True Story of Men Against the Sea
Brandon Sanderson,"Elantris (Elantris, #1)"
Patrick Ness,"The Knife of Never Letting Go (Chaos Walking, #1)"
Jim Fergus,One Thousand White Women: The Journals of May Dodd (One Thousand White Women#1)
Jodi Picoult,Handle with Care
"Stephen King, Darrel Anderson","Song of Susannah (The Dark Tower, #6)"
Ally Condie,"Reached (Matched, #3)"
Salman Rushdie,Midnight's Children
Max Brooks,The Zombie Survival Guide: Complete Protection from the Living Dead
John Grisham,The Testament
Agatha Christie,"Murder at the Vicarage (Miss Marple, #1)"
Margaret Peterson Haddix,"Among the Hidden (Shadow Children, #1)"
Michael Pollan,In Defense of Food: An Eater's Manifesto
Elizabeth George Speare,The Witch of Blackbird Pond
Kiera Cass,"The Heir (The Selection, #4)"
Sophie Kinsella,"Shopaholic Ties the Knot (Shopaholic, #3)"
"Wilkie Collins, Matthew Sweet",The Woman in White
"Robert Galbraith, J.K. Rowling","Career of Evil (Cormoran Strike, #3)"
Jenny Han,"The Summer I Turned Pretty (Summer, #1)"
Janet Evanovich,"Four to Score (Stephanie Plum, #4)"
James McBride,The Color of Water: A Black Man's Tribute to His White Mother
"Steven D. Levitt, Stephen J. Dubner","SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance"
Karen Marie Moning,"Darkfever (Fever, #1)"
Terry Goodkind,"Stone of Tears (Sword of Truth, #2)"
Emily Giffin,Heart of the Matter
"William Makepeace Thackeray, John Carey",Vanity Fair
Kurt Vonnegut Jr.,The Sirens of Titan
Cynthia D'Aprix Sweeney,The Nest
"Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean","Fables, Vol. 1: Legends in Exile"
David    Allen,Getting Things Done: The Art of Stress-Free Productivity
James Redfield,"The Celestine Prophecy (Celestine Prophecy, #1)"
Huntley Fitzpatrick,My Life Next Door
Ken Follett,Winter of the World (The Century Trilogy #2)
"Haruki Murakami, Philip Gabriel",Colorless Tsukuru Tazaki and His Years of Pilgrimage
Alice Sebold,Lucky
Virginia Woolf,To the Lighthouse
Chetan Bhagat,Five Point Someone
Laurell K. Hamilton,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)"
Markus Zusak,I Am the Messenger
"Thomas Hardy, Rosemarie Morgan, Shannon Russell",Far from the Madding Crowd
Terry Pratchett,"Equal Rites (Discworld, #3; Witches #1)"
Mark Z. Danielewski,House of Leaves
John Grisham,Sycamore Row
"P.C. Cast, Kristin Cast","Awakened (House of Night, #8)"
Willa Cather,My Ántonia
Susan Beth Pfeffer,"Life As We Knew It (Last Survivors, #1)"
"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",America (The Book): A Citizen's Guide to Democracy Inaction
"Don Piper, Cecil Murphey",90 Minutes in Heaven: A True Story of Death and Life
Nicholas Sparks,The Longest Ride
"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",Tao Te Ching
Jeffrey Archer,"Kane and Abel (Kane and Abel, #1)"
Jodi Picoult,Change of Heart
Augusten Burroughs,Dry
James Patterson,Sam's Letters to Jennifer
E.L. James,"Grey (Fifty Shades, #4)"
Frank Herbert,Dune Messiah (Dune Chronicles #2)
C.S. Lewis,The Great Divorce
Jennifer Weiner,Little Earthquakes
"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter",The Complete Fairy Tales
Mark Cotta Vaz,"New Moon: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #2)"
Colleen Hoover,"Maybe Someday (Maybe, #1)"
Jane Green,Mr. Maybe
L.M. Montgomery,"Anne of the Island (Anne of Green Gables, #3)"
"Friedrich Nietzsche, Walter Kaufmann",Thus Spoke Zarathustra
"Elizabeth Gaskell, Alan Shelston",North and South
Jaycee Dugard,A Stolen Life
Amish Tripathi,"The Immortals of Meluha (Shiva Trilogy, #1)"
Michael Crichton,"The Lost World (Jurassic Park, #2)"
Lauren Oliver,"Requiem (Delirium, #3)"
Robert Jordan,"A Crown of Swords (Wheel of Time, #7)"
"Aesop, Laura Harris, Laura Gibbs",Aesop's Fables
Cormac McCarthy,"Blood Meridian, or the Evening Redness in the West"
Becca Fitzpatrick,"Finale (Hush, Hush, #4)"
Stephen King,Skeleton Crew
Chuck Palahniuk,Lullaby
Chetan Bhagat,2 States: The Story of My Marriage
"Matsuri Hino, Tomo Kimura","Vampire Knight, Vol. 1 (Vampire Knight, #1)"
Jim Butcher,"Summer Knight (The Dresden Files, #4)"
"John D. Rateliff, J.R.R. Tolkien","The History of the Hobbit, Part One: Mr. Baggins"
Colleen Hoover,Ugly Love
Joanne Harris,"Chocolat (Chocolat, #1)"
Jay Anson,The Amityville Horror
Michael Ondaatje,The English Patient
Sylvain Reynard,"Gabriel's Rapture (Gabriel's Inferno, #2)"
"James Joyce, Jeri Johnson",Dubliners
Colum McCann,Let the Great World Spin
Eoin Colfer,"The Eternity Code (Artemis Fowl, #3)"
Harlan Coben,Tell No One
Stephen King,The Tommyknockers
Rachel Hawkins,"Hex Hall (Hex Hall, #1)"
Austin Kleon,Steal Like an Artist: 10 Things Nobody Told You About Being Creative
Neal Stephenson,Cryptonomicon
Christina Lauren,"Beautiful Bastard (Beautiful Bastard, #1)"
Barbara Kingsolver,Prodigal Summer
Joyce Carol Oates,We Were the Mulvaneys
Scott McCloud,Understanding Comics: The Invisible Art
"Kami Garcia, Margaret Stohl","Beautiful Darkness (Caster Chronicles, #2)"
Jon Ronson,The Psychopath Test: A Journey Through the Madness Industry
Jodi Picoult,Vanishing Acts
David Baldacci,Absolute Power
Janet Evanovich,"Hot Six (Stephanie Plum, #6)"
Mitch Albom,The Time Keeper
Christopher Moore,"A Dirty Job (Grim Reaper, #1)"
Michael   Lewis,Moneyball: The Art of Winning an Unfair Game
Jonathan Stroud,"The Amulet of Samarkand (Bartimaeus, #1)"
"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",I Am America (And So Can You!)
"Kenneth H. Blanchard, Spencer Johnson",The One Minute Manager
Leon Uris,Exodus
Ursula Hegi,Stones from the River
Raymond Chandler,"The Big Sleep (Philip Marlowe, #1)"
John Steinbeck,Cannery Row
Ellen DeGeneres,Seriously... I'm Kidding
"Lemony Snicket, Brett Helquist","The Miserable Mill (A Series of Unfortunate Events, #4)"
Eowyn Ivey,The Snow Child
"J. Lynn, Jennifer L. Armentrout","Wait for You (Wait for You, #1)"
Jeff Kinney,"The Last Straw (Diary of a Wimpy Kid, #3)"
"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",The Divine Comedy
"Benjamin Hoff, Ernest H. Shepard",The Tao of Pooh
Jennifer L. Armentrout,"Onyx (Lux, #2)"
Tahereh Mafi,"Unravel Me (Shatter Me, #2)"
Sarah Dunant,The Birth of Venus
Eoin Colfer,"The Opal Deception  (Artemis Fowl, #4)"
"David Lagercrantz, Stieg Larsson, George Goulding","The Girl in the Spider's Web (Millennium, #4)"
Emma Cline,The Girls
Shannon Hale,"The Goose Girl (The Books of Bayern, #1)"
Dennis Lehane,Mystic River
Isaac Marion,"Warm Bodies (Warm Bodies, #1)"
"Mark Twain, Everett H. Emerson",The Prince and the Pauper
Robert A. Heinlein,The Moon is a Harsh Mistress
Janet Evanovich,"High Five (Stephanie Plum, #5)"
Stephen King,Joyland
"Hajime Isayama, Sheldon Drzka","Attack on Titan, Vol. 1 (Attack on Titan, #1)"
F. Scott Fitzgerald,Tender Is the Night
Olive Ann Burns,Cold Sassy Tree
Tennessee Williams,The Glass Menagerie
"Elena Ferrante, Ann Goldstein",My Brilliant Friend (The Neapolitan Novels #1)
Timothy Ferriss,The 4-Hour Workweek
Robin S. Sharma,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny
Amor Towles,Rules of Civility
Larry Niven,"Ringworld (Ringworld, #1)"
Ruta Sepetys,Between Shades of Gray
"Andrew Clements, Brian Selznick",Frindle
Jeff Kinney,"Dog Days (Diary of a Wimpy Kid, #4)"
Louise Erdrich,The Round House
Madeleine L'Engle,"A Wind in the Door (A Wrinkle in Time Quintet, #2)"
Veronica Roth,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)"
Hanya Yanagihara,A Little Life
"Brian K. Vaughan, Pia Guerra, Jose Marzan Jr.","Y: The Last Man, Vol. 1: Unmanned"
Brandon Sanderson,"The Alloy of Law (Mistborn, #4)"
Charlaine Harris,"Dead Reckoning (Sookie Stackhouse, #11)"
"Anne Tyler, Jennifer Bassett",The Accidental Tourist
Benjamin Alire Saenz,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)"
H.G. Wells,The Invisible Man
"Haruki Murakami, Alfred Birnbaum",Hard-Boiled Wonderland and the End of the World
"Paulo Coelho, Alan R. Clarke",By the River Piedra I Sat Down and Wept
"Johann David Wyss, Scott McKowen, Arthur Pober",The Swiss Family Robinson  
Stephen King,Four Past Midnight 
Jennifer Probst,"The Marriage Bargain (Marriage to a Billionaire, #1)"
L.M. Montgomery,"Anne of Avonlea (Anne of Green Gables, #2)"
"Watty Piper, Doris Hauman, George Hauman",The Little Engine That Could
Karen Joy Fowler,We Are All Completely Beside Ourselves
Orson Scott Card,"Children of the Mind (Ender's Saga, #4)"
James Joyce,Ulysses
Sarah Dessen,Someone Like You
Alan Brennert,Moloka'i
Anne Rice,"The Witching Hour (Lives of the Mayfair Witches, #1)"
Frank E. Peretti,"This Present Darkness (Darkness, #1)"
Jessica Sorensen,"The Coincidence of Callie & Kayden (The Coincidence, #1)"
Lauren Groff,Fates and Furies
Judy Blume,Summer Sisters
"E.B. White, Garth Williams",Stuart Little
Isaac Asimov,"The Foundation Trilogy (Foundation, #1-3)"
Brian Greene,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory"
"Lemony Snicket, Brett Helquist","The Austere Academy (A Series of Unfortunate Events, #5)"
Janet Evanovich,"Seven Up (Stephanie Plum, #7)"
Kelley Armstrong,"The Awakening (Darkest Powers, #2)"
Jim Butcher,"Death Masks (The Dresden Files, #5)"
Janell Cannon,Stellaluna
Joe Abercrombie,Before They Are Hanged (The First Law #2)
Nancy Horan,Loving Frank
"Janet Evanovich, Lorelei King","Hard Eight (Stephanie Plum, #8)"
"Lemony Snicket, Brett Helquist","The Vile Village (A Series of Unfortunate Events, #7)"
Flora Rheta Schreiber,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities
Carl Sagan,Cosmos
Chuck Palahniuk,Haunted
Rosamunde Pilcher,The Shell Seekers
Dave Eggers,What Is the What
"Gabriel Garcia Marquez, Gregory Rabassa",Chronicle of a Death Foretold
"Ronald Holt, Arthur Conan Doyle","A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)"
"Bill O'Reilly, Martin Dugard",Killing Lincoln: The Shocking Assassination that Changed America Forever
Jhumpa Lahiri,The Lowland
John Flanagan,"The Ruins of Gorlan (Ranger's Apprentice, #1)"
Laurie Halse Anderson,Wintergirls
John Grisham,The Brethren
Robin Hobb,"Assassin's Quest (Farseer Trilogy, #3)"
Ira Levin,Rosemary's Baby
"Stephen King, Peter Straub","The Talisman (The Talisman, #1)"
Robert Jordan,"The Path of Daggers (Wheel of Time, #8)"
Jack Kerouac,The Dharma Bums
Kelley Armstrong,"The Reckoning (Darkest Powers, #3)"
Katherine Boo,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity"
"P.L. Travers, Mary Shepard","Mary Poppins (Mary Poppins, #1)"
Scott Lynch,"Red Seas Under Red Skies (Gentleman Bastard, #2)"
Sandra Cisneros,The House on Mango Street
David Benioff,City of Thieves
Jeaniene Frost,"Halfway to the Grave (Night Huntress, #1)"
"Roald Dahl, Quentin Blake",The Twits
Garth Nix,"Abhorsen (Abhorsen, #3)"
"James Patterson, Peter de Jonge",The Beach House
Stephen King,The Eyes of the Dragon
Frank Herbert,Children of Dune (Dune Chronicles #3)
James S.A. Corey,"Leviathan Wakes (The Expanse, #1)"
Sarah J. Maas,"Queen of Shadows (Throne of Glass, #4)"
Art Spiegelman,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)"
Ezra Jack Keats,The Snowy Day
Janet Evanovich,"To the Nines (Stephanie Plum, #9)"
Emily Giffin,Where We Belong
Richard   Preston,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus
"Haruki Murakami, Philip Gabriel",Sputnik Sweetheart
Elizabeth Gilbert,The Signature of All Things
Lynne Truss,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation"
Kim Harrison,"Dead Witch Walking (The Hollows, #1)"
"Clement C. Moore, Jan Brett",The Night Before Christmas
Diana Gabaldon,"An Echo in the Bone (Outlander, #7)"
Cynthia Hand,"Unearthly (Unearthly, #1)"
Lee Strobel,The Case for Christ
Robert Jordan,"Knife of Dreams (Wheel of Time, #11)"
Carl Hiaasen,Hoot
"Virgil, Robert Fitzgerald",The Aeneid
Junot Diaz,This Is How You Lose Her
"Haruki Murakami, Jay Rubin",After Dark
Daniel Quinn,Ishmael:A Novel
Jenny Han,"It's Not Summer Without You (Summer, #2)"
Katie McGarry,"Pushing the Limits (Pushing the Limits, #1)"
"Kennilworthy Whisp, J.K. Rowling",Quidditch Through the Ages
"Harry Allard, James  Marshall","Miss Nelson Is Missing! (Miss Nelson, #1)"
"Richard Bachman, Stephen King",The Long Walk
"Lemony Snicket, Brett Helquist","The Ersatz Elevator (A Series of Unfortunate Events, #6)"
Lois Lowry,"Messenger (The Giver, #3)"
J.R. Ward,"Lover Revealed (Black Dagger Brotherhood, #4)"
"Stephen King, Jerry N. Uelsmann",'Salem's Lot
"Trenton Lee Stewart, Carson Ellis","The Mysterious Benedict Society (The Mysterious Benedict Society, #1)"
Christopher Hitchens,god is Not Great: How Religion Poisons Everything
Abbi Glines,"Never Too Far (Rosemary Beach, #2; Too Far, #2)"
Michael Crichton,State of Fear
Jennifer E. Smith,The Statistical Probability of Love at First Sight
Jonathan Stroud,"The Golem's Eye (Bartimaeus, #2)"
Tom Robbins,Still Life with Woodpecker
Jenna Blum,Those Who Save Us
John Grisham,The Broker
Beth Revis,"Across the Universe (Across the Universe, #1)"
M. Scott Peck,"The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth"
Jim Butcher,"Blood Rites (The Dresden Files, #6)"
"Gertrude Chandler Warner, L. Kate Deal","The Boxcar Children (The Boxcar Children, #1)"
A.S.A. Harrison,The Silent Wife
Caitlin Moran,How to Be a Woman
Sarah J. Maas,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)"
Keith Richards,Life
Jhumpa Lahiri,Unaccustomed Earth
Anita Shreve,The Pilot's Wife
Don DeLillo,White Noise
Stephen E. Ambrose,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest"
Charles Darwin,The Origin of Species
Craig Thompson,Blankets
David Wroblewski,The Story of Edgar Sawtelle
Christina Schwarz,Drowning Ruth
Charles Bukowski,Post Office
Cormac McCarthy,"All the Pretty Horses (The Border Trilogy, #1)"
"Arthur Conan Doyle, Kyle Freeman","The Complete Sherlock Holmes, Vol 2"
"Eiichirō Oda, Andy Nakatani","One Piece, Volume 01: Romance Dawn (One Piece, #1)"
Peter S. Beagle,"The Last Unicorn (The Last Unicorn, #1)"
Angie Sage,"Magyk (Septimus Heap, #1)"
Laurie Halse Anderson,Fever 1793
Tana French,"The Likeness (Dublin Murder Squad, #2)"
Erik Larson,Dead Wake: The Last Crossing of the Lusitania
Rudyard Kipling,The Jungle Book
Terry Hayes,"I Am Pilgrim (Pilgrim, #1)"
"Allen Ginsberg, William Carlos Williams",Howl and Other Poems
Richard Carlson,Don't Sweat the Small Stuff ... and it's all small stuff: Simple Ways to Keep the Little Things from Taking Over Your Life
"Adam Mansbach, Ricardo Cortes",Go the Fuck to Sleep
Douglas Adams,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)"
Walter Isaacson,Benjamin Franklin: An American Life
Tea Obreht,The Tiger's Wife
Maria V. Snyder,"Poison Study (Study, #1)"
J.R. Ward,"Lover Unbound (Black Dagger Brotherhood, #5)"
Terry Pratchett,"Going Postal (Discworld, #33; Moist von Lipwig, #1)"
"Anonymous, Joseph Smith Jr.",The Book of Mormon: Another Testament of Jesus Christ
Stephen King,The Mist
Jim Butcher,"Dead Beat (The Dresden Files, #7)"
Pierce Brown,"Golden Son (Red Rising, #2)"
Terry Pratchett,"Night Watch (Discworld, #29; City Watch, #6)"
Terry Pratchett,"The Light Fantastic (Discworld, #2; Rincewind #2)"
Malcolm Gladwell,What the Dog Saw and Other Adventures
Karin Slaughter,Pretty Girls
Joe Abercrombie,"Last Argument of Kings (The First Law, #3)"
Stephen King,Revival
Dr. Seuss,Horton Hears a Who!
Michael   Lewis,The Blind Side: Evolution of a Game
Garth Nix,"Lirael (Abhorsen, #2)"
James Patterson,"School's Out—Forever (Maximum Ride, #2)"
"Yana Toboso, Tomo Kimura","Black Butler, Vol. 1 (Black Butler, #1)"
Marissa Meyer,"Winter (The Lunar Chronicles, #4)"
"Robert Louis Stevenson, Robert Mighall",The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror
Emily Seife,The Hunger Games Tribute Guide
Peter V. Brett,"The Warded Man (Demon Cycle, #1)"
John Bunyan,The Pilgrim's Progress
Lee Child,"One Shot (Jack Reacher, #9)"
Rick Riordan,"The Serpent's Shadow (Kane Chronicles, #3)"
Stephen King,Duma Key
Kate Morton,The House at Riverton
Robert Jordan,"Winter's Heart (Wheel of Time, #9)"
Jim Butcher,"Proven Guilty (The Dresden Files, #8)"
"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus","Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead"
Carson McCullers,The Heart is a Lonely Hunter
Rick Yancey,"The Infinite Sea (The 5th Wave, #2)"
T.H. White,The Once and Future King (The Once and Future King #1-4)
Terry Pratchett,"Small Gods (Discworld, #13)"
Christopher Paul Curtis,"Bud, Not Buddy"
Alison Bechdel,Fun Home: A Family Tragicomic
Dan Ariely,Predictably Irrational: The Hidden Forces That Shape Our Decisions
Lynne Reid Banks,"The Indian in the Cupboard (The Indian in the Cupboard, #1)"
"Robert Jordan, Brandon Sanderson","A Memory of Light (Wheel of Time, #14)"
Jesse Andrews,Me and Earl and the Dying Girl
Jeff Kinney,"The Ugly Truth (Diary of a Wimpy Kid, #5)"
Janet Evanovich,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)"
Simon Winchester,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary"
"James Patterson, Andrew Gross","2nd Chance (Women's Murder Club, #2)"
Art Spiegelman,"The Complete Maus (Maus, #1-2)"
Jasper Fforde,"The Eyre Affair (Thursday Next, #1)"
"Faye Perozich, Anne Rice, John Bolton, Daerick Grass",Anne Rice's The Vampire Lestat: A Graphic Novel
"Louis Sachar, Adam McCauley",Sideways Stories from Wayside School (Wayside School #1)
"Dalai Lama XIV, Howard C. Cutler",The Art of Happiness
David Mitchell,The Bone Clocks
Anna Quindlen,Black and Blue
"L.J. Smith, Kevin Williamson, Julie Plec","Origins (The Vampire Diaries: Stefan's Diaries, #1)"
John Grisham,The Last Juror
Chuck Palahniuk,Diary
Janet Evanovich,"Eleven on Top (Stephanie Plum, #11)"
"Cornelia Funke, Anthea Bell","Inkspell (Inkworld, #2)"
Chuck Klosterman,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto"
Evelyn Waugh,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder
Jim Butcher,"White Night (The Dresden Files, #9)"
Jessie Burton,The Miniaturist
"Margaret Weis, Tracy Hickman","Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)"
Eoin Colfer,"The Lost Colony (Artemis Fowl, #5)"
Scott Westerfeld,"Extras (Uglies, #4)"
John Flanagan,"The Burning Bridge (Ranger's Apprentice, #2)"
Deborah Harkness,"The Book of Life (All Souls Trilogy, #3)"
Julia Cameron,The Artist's Way: A Spiritual Path to Higher Creativity
"Jon Scieszka, Lane Smith",The Stinky Cheese Man and Other Fairly Stupid Tales
Joe Hill,Horns
Robert K. Massie,Catherine the Great: Portrait of a Woman
Margaret Atwood,"The Year of the Flood  (MaddAddam, #2)"
Kristin Hannah,Winter Garden
John Grisham,The King of Torts
"Marcus Luttrell, Patrick Robinson",Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10
Chetan Bhagat,The 3 Mistakes of My Life
Agatha Christie,"The Murder of Roger Ackroyd (Hercule Poirot, #4)"
Richard Wright,Native Son
Brent Weeks,"Shadow's Edge (Night Angel, #2)"
Veronica Rossi,"Under the Never Sky (Under the Never Sky, #1)"
Nicholas Sparks,"True Believer (Jeremy Marsh & Lexie Darnell, #1)"
Eric Ries,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses
Richelle Mead,"The Golden Lily (Bloodlines, #2)"
Lauren Weisberger,Chasing Harry Winston
David Eddings,"Magician's Gambit (The Belgariad, #3)"
"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",The Stand: Captain Trips
William L. Shirer,The Rise and Fall of the Third Reich: A History of Nazi Germany
Nick Hornby,A Long Way Down
"Jeff Smith, Steve Hamaker","Out from Boneville (Bone, #1)"
Stephen King,Rose Madder
Lee Child,"Die Trying (Jack Reacher, #2)"
"Kami Garcia, Margaret Stohl, Paz Pruneda","Beautiful Chaos (Caster Chronicles, #3)"
Jodi Picoult,Keeping Faith
Joe Hill,Heart-Shaped Box
Jeff Kinney,"Cabin Fever (Diary of a Wimpy Kid, #6)"
Brent Weeks,"Beyond the Shadows (Night Angel, #3)"
Lauren Weisberger,Everyone Worth Knowing
Brian Jacques,"Redwall (Redwall, #1)"
"Karl Marx, Friedrich Engels, Gareth Stedman Jones",The Communist Manifesto
Ruth Ware,The Woman in Cabin 10
James Fenimore Cooper,The Last of the Mohicans (The Leatherstocking Tales #2)
William Styron,Sophie's Choice
Sophie Kinsella,"Shopaholic and Sister (Shopaholic, #4)"
Julie Kagawa,The Iron Daughter
Bruce H. Wilkinson,The Prayer of Jabez:  Breaking Through to the Blessed Life
Karen Thompson Walker,The Age of Miracles
Mitch Albom,Have a Little Faith: a True Story
"Julia Child, Alex Prud'Homme",My Life in France
Graeme Simsion,"The Rosie Effect (Don Tillman, #2)"
Amish Tripathi,The Secret of the Nagas (Shiva Trilogy #2)
Charles Bukowski,Ham on Rye
Wendelin Van Draanen,Flipped
"Travis Bradberry, Jean Greaves, Patrick Lencioni",Emotional Intelligence 2.0
Robert McCloskey,Make Way for Ducklings
"Douglas Preston, Lincoln Child","Relic (Pendergast, #1)"
Bill Bryson,Notes from a Small Island
Jim Butcher,"Small Favor (The Dresden Files, #10)"
Robert Kirkman,"The Walking Dead, Compendium 1"
Shannon Hale,"Princess Academy (Princess Academy, #1)"
"Nicola Yoon, David Yoon","Everything, Everything"
George Bernard Shaw,Pygmalion
Barbara Kingsolver,Flight Behavior
Brandon Mull,"Grip of the Shadow Plague (Fablehaven, #3)"
Helen Fielding,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)"
Louis de Bernières,Corelli's Mandolin
Nicholas Sparks,"At First Sight (Jeremy Marsh & Lexie Darnell, #2)"
Bill Bryson,In a Sunburned Country
Arthur Conan Doyle,The Memoirs of Sherlock Holmes
Adam Johnson,The Orphan Master's Son
David Eddings,"Enchanters' End Game (The Belgariad, #5)"
"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh",The Complete Persepolis
Chaim Potok,The Chosen
"Carlos Ruiz Zafon, Lucia Graves","The Angel's Game (The Cemetery of Forgotten Books, #2)"
Cecelia Ahern,"Love, Rosie"
"Peggy Parish, Fritz Siebel",Amelia Bedelia  (Amelia Bedelia #1)
Jodi Ellen Malpas,"This Man (This Man, #1)"
W. Bruce Cameron,"A Dog's Purpose (A Dog's Purpose, #1)"
Sabaa Tahir,"An Ember in the Ashes (An Ember in the Ashes, #1)"
J.R. Ward,"Lover Enshrined (Black Dagger Brotherhood, #6)"
Helene Wecker,"The Golem and the Jinni (The Golem and the Jinni, #1)"
"Lemony Snicket, Brett Helquist","The Slippery Slope (A Series of Unfortunate Events, #10)"
"Charles Dickens, Nicola Bradbury, Hablot Knight Browne",Bleak House
Esphyr Slobodkina,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business"
Jim Butcher,"Furies of Calderon (Codex Alera, #1)"
Tamora Pierce,"Alanna: The First Adventure (Song of the Lioness, #1)"
Audrey Niffenegger,Her Fearful Symmetry
Anita Diamant,The Boston Girl
J.R. Ward,"Lover Avenged (Black Dagger Brotherhood, #7)"
Dan Simmons,"The Fall of Hyperion (Hyperion Cantos, #2)"
